scenario,metric,baseline_value,unit,window,warn_threshold,critical_threshold,status,source_date,source_commit,notes
S80,al_dispatch_q_len,6,count,warmup=2ticks;measure=20ticks,8..12,>=13,OK,2026-03-12,BASELINE-V1,Initial locked baseline
S80,al_dispatch_q_overflow,0,count,warmup=2ticks;measure=20ticks,1..2,>=3,OK,2026-03-12,BASELINE-V1,Overflow must stay 0 in healthy baseline
S80,al_reg_overflow_count,0,count,warmup=2ticks;measure=20ticks,1,>=2,OK,2026-03-12,BASELINE-V1,
S80,al_route_overflow_count,0,count,warmup=2ticks;measure=20ticks,1,>=2,OK,2026-03-12,BASELINE-V1,
S80,al_h_recent_resync,2,count,warmup=2ticks;measure=20ticks,3..5,>=6,OK,2026-03-12,BASELINE-V1,
S80,al_h_reg_index_miss_delta,0,count,warmup=2ticks;measure=20ticks,1,>=2,OK,2026-03-12,BASELINE-V1,Per-tick reverse-index miss delta should stay at 0 in steady state
S80,al_reg_compact_calls,6,count,warmup=2ticks;measure=20ticks,n/a,n/a,n/a,2026-03-12,BASELINE-V1,Interpret with al_reg_compact_calls_window
S80,al_reg_compact_calls_window,2,count,warmup=2ticks;measure=20ticks,n/a,n/a,n/a,2026-03-12,BASELINE-V1,Compaction optimizations should reduce or keep within noise
S80,al_dispatch_ticks_to_drain,3,ticks,warmup=2ticks;measure=20ticks,n/a,n/a,n/a,2026-03-12,BASELINE-V1,After target <=3 and delta <= +1 tick
S100,al_dispatch_q_len,9,count,warmup=2ticks;measure=20ticks,10..14,>=15,OK,2026-03-12,BASELINE-V1,Initial locked baseline
S100,al_dispatch_q_overflow,0,count,warmup=2ticks;measure=20ticks,1..3,>=4,OK,2026-03-12,BASELINE-V1,
S100,al_reg_overflow_count,0,count,warmup=2ticks;measure=20ticks,1..2,>=3,OK,2026-03-12,BASELINE-V1,
S100,al_route_overflow_count,0,count,warmup=2ticks;measure=20ticks,1..2,>=3,OK,2026-03-12,BASELINE-V1,
S100,al_h_recent_resync,3,count,warmup=2ticks;measure=20ticks,4..7,>=8,OK,2026-03-12,BASELINE-V1,
S100,al_h_reg_index_miss_delta,0,count,warmup=2ticks;measure=20ticks,1..2,>=3,OK,2026-03-12,BASELINE-V1,Allow short bursts but no sustained growth
S100,al_reg_compact_calls,8,count,warmup=2ticks;measure=20ticks,n/a,n/a,n/a,2026-03-12,BASELINE-V1,
S100,al_reg_compact_calls_window,3,count,warmup=2ticks;measure=20ticks,n/a,n/a,n/a,2026-03-12,BASELINE-V1,
S100,al_dispatch_ticks_to_drain,4,ticks,warmup=2ticks;measure=20ticks,n/a,n/a,n/a,2026-03-12,BASELINE-V1,After target <=4 and delta <= +1 tick
S120,al_dispatch_q_len,11,count,warmup=2ticks;measure=20ticks,12..17,>=18,OK,2026-03-12,BASELINE-V1,Initial locked baseline
S120,al_dispatch_q_overflow,1,count,warmup=2ticks;measure=20ticks,2..4,>=5,OK,2026-03-12,BASELINE-V1,After target <=1 and no growth
S120,al_reg_overflow_count,1,count,warmup=2ticks;measure=20ticks,2..4,>=5,OK,2026-03-12,BASELINE-V1,
S120,al_route_overflow_count,1,count,warmup=2ticks;measure=20ticks,2..4,>=5,OK,2026-03-12,BASELINE-V1,
S120,al_h_recent_resync,5,count,warmup=2ticks;measure=20ticks,6..10,>=11,OK,2026-03-12,BASELINE-V1,
S120,al_h_reg_index_miss_delta,1,count,warmup=2ticks;measure=20ticks,2..3,>=4,OK,2026-03-12,BASELINE-V1,Stress profile allows limited burst misses
S120,al_reg_compact_calls,11,count,warmup=2ticks;measure=20ticks,n/a,n/a,n/a,2026-03-12,BASELINE-V1,
S120,al_reg_compact_calls_window,4,count,warmup=2ticks;measure=20ticks,n/a,n/a,n/a,2026-03-12,BASELINE-V1,
S120,al_dispatch_ticks_to_drain,5,ticks,warmup=2ticks;measure=20ticks,n/a,n/a,n/a,2026-03-12,BASELINE-V1,After target <=5 and delta <= +1 tick
